matrixname,type,scalar,1rVc,1rVc_v2,2rVc,2rVc_v2,4rVc,4rVc_v2
bundle_adj,double,0.370983,1.08249,0.917155,1.1272,0.95668,1.02309,0.853637
bundle_adj,float,0.373651,1.33321,1.19754,1.29859,1.04531,0.990881,0.90332
CO,double,0.352477,0.406532,0.300606,0.478983,0.344708,0.447894,0.379459
CO,float,0.358206,0.422454,0.471177,0.505937,0.305081,0.424676,0.387637
crankseg_2,double,0.384269,1.51733,1.11833,1.66913,1.12754,1.36949,1.0423
crankseg_2,float,0.388135,2.10765,1.82928,2.38809,1.2079,1.87389,1.51078
dense,double,0.393583,2.85878,2.42584,3.41248,2.42046,3.10451,2.79955
dense,float,0.396006,5.54811,4.88221,6.70245,4.94441,6.16792,5.62696
dielFilterV2real,double,0.359263,0.590034,0.291208,0.566214,0.32454,0.427792,0.272338
dielFilterV2real,float,0.363689,0.677028,0.369065,0.689445,0.366703,0.4887,0.349195
Emilia_923,double,0.362632,0.813071,0.584646,0.892297,0.637518,0.750825,0.53322
Emilia_923,float,0.366294,0.897952,0.777325,0.993902,0.649875,0.787365,0.671417
FullChip,double,0.268553,0.271641,0.185251,0.254487,0.193895,0.212846,0.157894
FullChip,float,0.277515,0.270918,0.187286,0.262408,0.197722,0.191944,0.160956
Hook_1498,double,0.358633,0.77317,0.58673,0.862809,0.628429,0.717653,0.515669
Hook_1498,float,0.363371,0.891513,0.794406,0.988849,0.66233,0.741283,0.612908
in-2004,double,0.329084,0.468425,0.363261,0.444226,0.360005,0.372892,0.291103
in-2004,float,0.334549,0.465279,0.401534,0.440068,0.366907,0.323021,0.281968
ldoor,double,0.353706,1.16447,0.988661,1.10691,0.907933,0.985531,0.788526
ldoor,float,0.36098,1.34211,1.13916,1.22165,0.953845,0.990539,0.861464
mixtank_new,double,0.372419,0.665956,0.393672,0.660136,0.386783,0.495625,0.332342
mixtank_new,float,0.375613,0.787286,0.522013,0.829282,0.423377,0.592814,0.440201
nd6k,double,0.388325,1.99461,1.49193,2.33047,1.52409,2.10177,1.742
nd6k,float,0.392194,3.21356,2.56043,3.81283,1.88302,3.26381,2.85187
ns3Da,double,0.363298,0.288263,0.180091,0.212834,0.134061,0.138438,0.0991056
ns3Da,float,0.371876,0.328017,0.21443,0.254331,0.138263,0.163789,0.110241
pdb1HYS,double,0.382201,1.54313,1.21006,1.78704,1.2466,1.56841,1.24284
pdb1HYS,float,0.384432,2.05908,1.83428,2.3876,1.42017,1.92772,1.68898
pwtk,double,0.368513,1.27868,1.10377,1.43538,1.08741,1.29469,1.10956
pwtk,float,0.370983,1.76356,1.37512,1.6874,1.38318,1.27643,1.17479
RM07R,double,0.375668,1.2041,1.00939,1.28149,0.890077,1.0338,0.831265
RM07R,float,0.380304,1.41199,1.26487,1.59617,0.817099,1.22744,1.08666
Serena,double,0.360274,0.804709,0.612881,0.890473,0.642945,0.737115,0.528851
Serena,float,0.36528,0.927445,0.818399,1.04004,0.670512,0.781723,0.642472
Si41Ge41H72,double,0.372862,0.726795,0.471749,0.838398,0.57808,0.74812,0.609411
Si41Ge41H72,float,0.377743,0.796413,0.696317,0.946464,0.493858,0.780312,0.696369
Si87H76,double,0.360198,0.484288,0.343521,0.567101,0.401013,0.523924,0.436469
Si87H76,float,0.365374,0.505303,0.493735,0.605473,0.337237,0.504047,0.454597
spal_004,double,0.36509,1.31401,1.02267,1.05702,0.752379,0.709896,0.57094
spal_004,float,0.393878,2.35064,1.9582,1.78363,0.882368,1.29191,1.10672
torso1,double,0.41042,1.40157,1.23682,1.50939,1.18932,1.42288,1.23065
torso1,float,0.41622,1.92419,1.74802,2.00554,1.52623,1.55563,1.45583
TSOPF_RS_b2383_c1,double,0.391846,2.44918,2.14011,2.86515,2.11095,2.59172,2.30594
TSOPF_RS_b2383_c1,float,0.394101,4.22349,3.86602,4.86352,3.62483,4.13399,3.78285
wikipedia-20060925,double,0.123743,0.0881145,0.067785,0.0706221,0.0745456,0.0481656,0.0563486
wikipedia-20060925,float,0.143774,0.104716,0.108434,0.0820675,0.080844,0.0552796,0.0613997
