matrixname,type,dim,nbnnz,nbnnzperrow,hsum,factox,scalar,1rVc,2rVc,4rVc,8rVc,1rVcpar,2rVcpar,4rVcpar,8rVcpar,valvec1vs,ratio1vs,valvec2vs,ratio2vs,valvec4vs,ratio4vs,valvec8vs,ratio8vs
Serena,double,1391349,64531701,46.3807,no,no,0.358895,0.814723,1.03199,0.896986,0.720935,35.1826,42.5083,37.549,30.6662,4.10003,51.25,6.95211,43.45,10.6615,33.31,15.5649,24.32
Serena,double,1391349,64531701,46.3807,no,yes,0.358928,0.814816,1.05261,1.01852,0.658614,35.092,42.8377,41.4354,28.2823,4.10003,51.25,6.95211,43.45,10.6615,33.31,15.5649,24.32
Serena,float,1391349,64531701,46.3807,no,yes,0.363753,0.926722,1.26417,1.38419,0.983535,41.9565,55.3414,59.7868,42.0927,5.45608,34.10,9.44952,29.52,14.9079,23.29,22.4702,17.55
Serena,float,1391349,64531701,46.3807,no,no,0.363731,0.927147,1.25323,1.14975,1.0027,41.9306,55.2567,51.0094,44.3023,5.45608,34.10,9.44952,29.52,14.9079,23.29,22.4702,17.55
Serena,double,1391349,64531701,46.3807,yes,no,0.3589,0.814736,1.03168,0.89729,0.720887,35.2078,42.5514,37.5035,30.768,4.10003,51.25,6.95211,43.45,10.6615,33.31,15.5649,24.32
Serena,double,1391349,64531701,46.3807,yes,yes,0.358909,0.814908,1.05279,1.01935,0.682398,35.2084,42.8841,41.4673,20.3791,4.10003,51.25,6.95211,43.45,10.6615,33.31,15.5649,24.32
Serena,float,1391349,64531701,46.3807,yes,yes,0.363688,0.926976,1.26486,1.38648,0.946922,41.8962,55.1529,59.7983,41.7194,5.45608,34.10,9.44952,29.52,14.9079,23.29,22.4702,17.55
Serena,float,1391349,64531701,46.3807,yes,no,0.363717,0.927186,1.253,1.14964,1.00296,41.8396,55.2012,50.7904,44.5425,5.45608,34.10,9.44952,29.52,14.9079,23.29,22.4702,17.55
Si41Ge41H72,double,185639,15011265,80.8627,no,no,0.37111,0.73331,0.907357,0.840782,0.703204,31.6563,40.4671,37.56,31.4607,2.62366,32.79,4.97966,31.12,8.99701,28.11,14.5631,22.75
Si41Ge41H72,double,185639,15011265,80.8627,no,yes,0.371151,0.73299,0.920138,0.940239,0.623368,31.655,40.7876,41.9102,28.3549,2.62366,32.79,4.97966,31.12,8.99701,28.11,14.5631,22.75
Si41Ge41H72,float,185639,15011265,80.8627,no,yes,0.375807,0.796437,1.03462,1.09305,0.781805,32.3057,41.3666,48.1187,35.7624,2.88185,18.01,5.50922,17.21,10.1624,15.87,17.3587,13.56
Si41Ge41H72,float,185639,15011265,80.8627,no,no,0.375884,0.795925,1.03877,0.9536,0.866568,32.2992,43.088,40.6713,38.188,2.88185,18.01,5.50922,17.21,10.1624,15.87,17.3587,13.56
Si41Ge41H72,double,185639,15011265,80.8627,yes,no,0.371124,0.733126,0.907836,0.841238,0.703481,31.6276,40.4986,37.4872,31.9054,2.62366,32.79,4.97966,31.12,8.99701,28.11,14.5631,22.75
Si41Ge41H72,double,185639,15011265,80.8627,yes,yes,0.37103,0.732548,0.918831,0.939188,0.645536,31.6227,40.9108,41.948,28.1278,2.62366,32.79,4.97966,31.12,8.99701,28.11,14.5631,22.75
Si41Ge41H72,float,185639,15011265,80.8627,yes,yes,0.3759,0.796106,1.03413,1.09308,0.813349,32.2627,43.0615,48.109,35.8773,2.88185,18.01,5.50922,17.21,10.1624,15.87,17.3587,13.56
Si41Ge41H72,float,185639,15011265,80.8627,yes,no,0.375941,0.796265,1.03961,0.954461,0.866541,32.3186,43.1781,40.6749,38.2764,2.88185,18.01,5.50922,17.21,10.1624,15.87,17.3587,13.56
Si87H76,double,240369,10661631,44.3553,no,no,0.357118,0.488168,0.62377,0.610083,0.549248,21.1997,27.6115,27.083,24.6226,1.75317,21.91,3.41863,21.36,6.5095,20.34,11.284,17.63
Si87H76,double,240369,10661631,44.3553,no,yes,0.357213,0.488063,0.637466,0.689735,0.486566,21.2741,28.173,30.8177,22.1546,1.75317,21.91,3.41863,21.36,6.5095,20.34,11.284,17.63
Si87H76,float,240369,10661631,44.3553,no,yes,0.361731,0.505426,0.673926,0.747434,0.567413,21.1346,28.662,33.1329,25.8908,1.87593,11.72,3.65836,11.43,6.98594,10.91,12.5761,9.82
Si87H76,float,240369,10661631,44.3553,no,no,0.361791,0.505316,0.673696,0.640996,0.618976,21.0553,28.8713,27.9073,27.6516,1.87593,11.72,3.65836,11.43,6.98594,10.91,12.5761,9.82
Si87H76,double,240369,10661631,44.3553,yes,no,0.357184,0.488163,0.623764,0.610404,0.549396,21.2381,27.6288,27.1627,24.572,1.75317,21.91,3.41863,21.36,6.5095,20.34,11.284,17.63
Si87H76,double,240369,10661631,44.3553,yes,yes,0.357159,0.488201,0.637607,0.68992,0.493337,21.2089,28.1529,30.605,22.2093,1.75317,21.91,3.41863,21.36,6.5095,20.34,11.284,17.63
Si87H76,float,240369,10661631,44.3553,yes,yes,0.361754,0.505167,0.67444,0.747584,0.565454,20.9987,28.7401,33.1254,25.8929,1.87593,11.72,3.65836,11.43,6.98594,10.91,12.5761,9.82
Si87H76,float,240369,10661631,44.3553,yes,no,0.361738,0.505163,0.673543,0.640649,0.618831,21.0173,28.8309,27.8746,27.6477,1.87593,11.72,3.65836,11.43,6.98594,10.91,12.5761,9.82
spal,double,10203,46168124,4524.96,no,no,0.344909,1.21344,0.98179,0.672646,0.409937,45.1925,35.9983,26.0587,17.1482,5.96766,74.59,7.29932,45.62,8.13428,25.41,8.63005,13.48
spal,double,10203,46168124,4524.96,no,yes,0.353301,1.26573,1.0735,0.74872,0.363269,45.7093,37.6041,28.9957,14.862,5.96766,74.59,7.29932,45.62,8.13428,25.41,8.63005,13.48
spal,float,10203,46168124,4524.96,no,yes,0.393772,2.3526,1.88101,1.40207,0.695512,91.6212,77.2939,57.9619,30.4593,11.1872,69.92,12.1496,37.96,14.735,23.02,16.3992,12.81
spal,float,10203,46168124,4524.96,no,no,0.394001,2.34945,1.7907,1.29713,0.834033,91.9261,71.2472,52.0969,36.6132,11.1872,69.92,12.1496,37.96,14.735,23.02,16.3992,12.81
spal,double,10203,46168124,4524.96,yes,no,0.358864,1.28913,1.04013,0.707685,0.423296,45.5569,36.6468,27.1487,16.7921,5.96766,74.59,7.29932,45.62,8.13428,25.41,8.63005,13.48
spal,double,10203,46168124,4524.96,yes,yes,0.367456,1.32572,1.13898,0.776781,0.385535,45.4107,38.2858,28.7578,15.123,5.96766,74.59,7.29932,45.62,8.13428,25.41,8.63005,13.48
spal,float,10203,46168124,4524.96,yes,yes,0.394363,2.35582,1.88205,1.40329,0.69571,92.4663,78.71,58.902,30.5338,11.1872,69.92,12.1496,37.96,14.735,23.02,16.3992,12.81
spal,float,10203,46168124,4524.96,yes,no,0.394275,2.3548,1.79284,1.29934,0.834486,92.1776,71.2208,52.2592,36.48,11.1872,69.92,12.1496,37.96,14.735,23.02,16.3992,12.81
torso1,double,116158,8516500,73.3182,no,no,0.410939,1.41968,1.82525,1.90663,1.6384,51.3619,67.1847,68.6934,64.4443,6.53441,81.68,12.8282,80.17,24.6945,77.17,37.5171,58.62
torso1,double,116158,8516500,73.3182,no,yes,0.410939,1.41702,1.94643,2.23322,1.47789,51.7339,69.9023,78.807,60.3018,6.53441,81.68,12.8282,80.17,24.6945,77.17,37.5171,58.62
torso1,float,116158,8516500,73.3182,no,yes,0.416653,1.92887,2.8179,3.19802,2.65373,68.2831,101.482,113.863,99.7673,10.2046,63.77,19.9885,62.46,38.3324,59.89,71.0757,55.52
torso1,float,116158,8516500,73.3182,no,no,0.416513,1.92831,2.44908,2.57883,2.8001,67.7895,87.9401,91.2506,100.619,10.2046,63.77,19.9885,62.46,38.3324,59.89,71.0757,55.52
torso1,double,116158,8516500,73.3182,yes,no,0.410703,1.41971,1.82513,1.90695,1.63869,51.7015,66.95,69.7769,63.4149,6.53441,81.68,12.8282,80.17,24.6945,77.17,37.5171,58.62
torso1,double,116158,8516500,73.3182,yes,yes,0.410787,1.41814,1.94759,2.2317,1.48046,51.3034,70.4375,78.1301,60.2927,6.53441,81.68,12.8282,80.17,24.6945,77.17,37.5171,58.62
torso1,float,116158,8516500,73.3182,yes,yes,0.416636,1.92828,2.81674,3.19422,2.65508,66.8027,100.031,115.455,102.455,10.2046,63.77,19.9885,62.46,38.3324,59.89,71.0757,55.52
torso1,float,116158,8516500,73.3182,yes,no,0.416411,1.92884,2.44959,2.57966,2.80176,67.5838,88.2476,90.6171,98.8661,10.2046,63.77,19.9885,62.46,38.3324,59.89,71.0757,55.52
TSOPF,double,38120,16171169,424.217,no,no,0.391961,2.45978,3.02129,2.81607,2.66816,55.4201,76.9445,92.7217,94.3255,7.5609,94.51,14.9948,93.71,29.5254,92.26,57.4738,89.80
TSOPF,double,38120,16171169,424.217,no,yes,0.391927,2.45872,3.02098,3.14263,2.33297,55.4767,87.0359,116.755,92.2391,7.5609,94.51,14.9948,93.71,29.5254,92.26,57.4738,89.80
TSOPF,float,38120,16171169,424.217,no,yes,0.394136,4.2149,5.38533,5.74778,4.47192,94.1546,153.83,186.563,161.012,14.1856,88.66,28.0035,87.51,54.7522,85.55,105.655,82.54
TSOPF,float,38120,16171169,424.217,no,no,0.394256,4.2225,5.28261,5.05651,5.07741,94.1686,125.665,137.405,150.775,14.1856,88.66,28.0035,87.51,54.7522,85.55,105.655,82.54
TSOPF,double,38120,16171169,424.217,yes,no,0.391921,2.4614,3.01907,2.81651,2.66755,55.7768,76.3848,92.7157,94.3642,7.5609,94.51,14.9948,93.71,29.5254,92.26,57.4738,89.80
TSOPF,double,38120,16171169,424.217,yes,yes,0.391946,2.46082,3.02269,3.14786,2.33133,55.4478,86.2348,116.767,93.6285,7.5609,94.51,14.9948,93.71,29.5254,92.26,57.4738,89.80
TSOPF,float,38120,16171169,424.217,yes,yes,0.394165,4.21158,5.37968,5.73568,4.47289,93.8603,153.747,184.511,162.092,14.1856,88.66,28.0035,87.51,54.7522,85.55,105.655,82.54
TSOPF,float,38120,16171169,424.217,yes,no,0.394239,4.22175,5.2791,5.05314,5.07587,94.3434,124.505,135.623,154.386,14.1856,88.66,28.0035,87.51,54.7522,85.55,105.655,82.54
wikipedia-20060925,double,2983494,37269096,12.4918,no,no,0.127054,0.0877955,0.0727243,0.0502244,0.0328832,2.57819,2.32325,1.7258,1.20193,1.05396,13.17,1.07215,6.70,1.09314,3.41,1.11862,1.74
wikipedia-20060925,double,2983494,37269096,12.4918,no,yes,0.127275,0.0880273,0.0646973,0.0473738,0.026143,2.59398,2.04185,1.59434,0.991711,1.05396,13.17,1.07215,6.70,1.09314,3.41,1.11862,1.74
wikipedia-20060925,float,2983494,37269096,12.4918,no,yes,0.145871,0.103783,0.0802782,0.0577451,0.0302697,3.31391,2.83923,2.14978,1.2383,1.07313,6.70,1.09287,3.41,1.11622,1.74,1.14542,.89
wikipedia-20060925,float,2983494,37269096,12.4918,no,no,0.144746,0.102683,0.0853359,0.0593158,0.0396754,3.33795,3.0151,2.25156,1.59126,1.07313,6.70,1.09287,3.41,1.11622,1.74,1.14542,.89
wikipedia-20060925,double,2983494,37269096,12.4918,yes,no,0.125907,0.0868442,0.0717726,0.0496633,0.032581,2.55433,2.29861,1.66891,1.20321,1.05396,13.17,1.07215,6.70,1.09314,3.41,1.11862,1.74
wikipedia-20060925,double,2983494,37269096,12.4918,yes,yes,0.127259,0.087967,0.0647835,0.0474062,0.0261127,2.59903,1.99657,1.61256,0.984052,1.05396,13.17,1.07215,6.70,1.09314,3.41,1.11862,1.74
wikipedia-20060925,float,2983494,37269096,12.4918,yes,yes,0.145002,0.102885,0.0794812,0.0572043,0.0301134,3.36484,2.8189,2.18845,1.24503,1.07313,6.70,1.09287,3.41,1.11622,1.74,1.14542,.89
wikipedia-20060925,float,2983494,37269096,12.4918,yes,no,0.143885,0.102025,0.0848462,0.0590933,0.039548,3.30845,2.88552,2.17416,1.53692,1.07313,6.70,1.09287,3.41,1.11622,1.74,1.14542,.89
