matrixname,type,dim,nbnnz,nbnnzperrow,hsum,factox,scalar,MKL,1rVc,2rVc,4rVc,8rVc,1rVcpar,2rVcpar,4rVcpar,8rVcpar,valvec1vs,ratio1vs,valvec2vs,ratio2vs,valvec4vs,ratio4vs,valvec8vs,ratio8vs
FullChip,double,2987012,26621990,8.91258,no,no,1.16359,1.22635,1.10047,1.08654,1.05068,0.859694,11.4315,12.7283,9.96173,8.61922,1.95349,24.41,2.87584,17.97,4.19656,13.11,5.54615,8.66
FullChip,float,2987012,26621990,8.91258,no,no,1.26166,1.27998,1.3731,1.3763,1.30871,1.03303,16.9816,20.7126,20.6622,16.5226,2.20512,13.78,3.38799,10.58,5.0457,7.88,7.09445,5.54
FullChip,double,2987012,26621990,8.91258,yes,no,1.16161,1.22509,1.09963,1.11241,1.07443,0.876481,11.5087,12.6634,9.53397,8.23323,1.95349,24.41,2.87584,17.97,4.19656,13.11,5.54615,8.66
FullChip,float,2987012,26621990,8.91258,yes,no,1.28969,1.27895,1.37585,1.42842,1.38999,1.10596,17.1297,22.4401,21.0436,16.7691,2.20512,13.78,3.38799,10.58,5.0457,7.88,7.09445,5.54
Hook,double,1498023,60917445,40.6652,no,no,1.40813,1.81922,2.14319,2.22342,2.18302,1.94112,36.1744,41.2387,41.8642,40.2972,4.10471,51.30,6.94771,43.42,10.6257,33.20,15.567,24.32
Hook,float,1498023,60917445,40.6652,no,no,1.75748,2.27189,3.24557,3.2799,3.30978,2.82388,62.1619,65.4136,67.5478,55.6139,5.51632,34.47,9.53863,29.80,15.0049,23.44,22.6842,17.72
Hook,double,1498023,60917445,40.6652,yes,no,1.40276,1.80802,2.13317,2.23741,2.19356,1.92856,36.475,38.019,38.0868,37.5199,4.10471,51.30,6.94771,43.42,10.6257,33.20,15.567,24.32
Hook,float,1498023,60917445,40.6652,yes,no,1.77675,2.27371,3.25125,3.33397,3.41397,2.9215,59.8815,68.1093,71.4388,62.7704,5.51632,34.47,9.53863,29.80,15.0049,23.44,22.6842,17.72
in-2004,double,1382908,16917053,12.233,no,no,1.15331,1.37807,1.55357,1.64853,1.66102,1.50231,25.6289,23.3639,27.1089,22.3979,3.8456,48.07,6.23977,38.99,9.63549,30.11,13.8048,21.57
in-2004,float,1382908,16917053,12.233,no,no,1.20169,1.50437,2.02221,2.19294,2.24796,2.00274,33.5159,29.3276,28.9562,28.941,5.05545,31.59,8.19896,25.62,12.7695,19.95,18.7614,14.65
in-2004,double,1382908,16917053,12.233,yes,no,1.156,1.3827,1.55976,1.7039,1.71628,1.55116,25.4767,25.8815,24.7862,23.4953,3.8456,48.07,6.23977,38.99,9.63549,30.11,13.8048,21.57
in-2004,float,1382908,16917053,12.233,yes,no,1.23425,1.50087,2.03014,2.26295,2.46018,2.13958,32.4637,30.2613,33.0642,29.1018,5.05545,31.59,8.19896,25.62,12.7695,19.95,18.7614,14.65
ldoor,double,952203,46522475,48.8577,no,no,1.3844,1.81667,2.5664,2.68833,2.6957,2.52252,42.2226,43.5091,44.0825,43.4658,6.99245,87.40,12.6971,79.35,21.4457,67.01,32.7222,51.12
ldoor,float,952203,46522475,48.8577,no,no,1.77669,2.28538,4.05806,4.31095,4.29826,3.91011,79.185,76.4024,76.5738,73.0496,8.95403,55.96,16.4252,51.32,28.1874,44.04,43.9071,34.30
ldoor,double,952203,46522475,48.8577,yes,no,1.38704,1.82344,2.57129,2.71818,2.73929,2.55416,41.6645,46.1316,46.2984,45.9052,6.99245,87.40,12.6971,79.35,21.4457,67.01,32.7222,51.12
ldoor,float,952203,46522475,48.8577,yes,no,1.78089,2.28874,4.05907,4.3885,4.51203,4.0307,78.4795,78.2752,80.4672,73.4798,8.95403,55.96,16.4252,51.32,28.1874,44.04,43.9071,34.30
mixtank,double,29957,1995041,66.5968,no,no,1.47594,2.49874,2.0955,2.12582,1.86536,1.44285,20.2946,20.6264,20.8791,17.7476,2.53752,31.71,3.85991,24.12,5.53927,17.31,7.6973,12.02
mixtank,float,29957,1995041,66.5968,no,no,1.79112,3.02054,2.74198,2.9429,2.33561,1.79274,13.8087,18.1826,18.762,18.6734,3.22503,20.15,5.20303,16.25,7.56867,11.82,10.6379,8.31
mixtank,double,29957,1995041,66.5968,yes,no,1.46093,2.3998,2.01858,2.1587,1.82492,1.44789,19.6703,20.9416,20.5801,17.6822,2.53752,31.71,3.85991,24.12,5.53927,17.31,7.6973,12.02
mixtank,float,29957,1995041,66.5968,yes,no,1.83276,3.23096,2.75237,2.96912,2.36756,1.83567,13.3517,18.8287,19.4027,18.9469,3.22503,20.15,5.20303,16.25,7.56867,11.82,10.6379,8.31
nd6k,double,18000,6897316,383.184,no,no,1.22359,2.17754,2.95247,3.40169,3.44216,3.38394,61.1834,68.6185,72.539,66.3241,6.45481,80.68,12.3105,76.94,23.0337,71.98,41.2598,64.46
nd6k,float,18000,6897316,383.184,no,no,1.36538,2.82372,6.30739,7.27939,7.6028,7.14043,92.6355,110.125,112.158,109.466,11.433,71.45,21.9784,68.68,41.3322,64.58,74.473,58.18
nd6k,double,18000,6897316,383.184,yes,no,1.22441,2.17123,2.9138,3.40168,3.44343,3.39862,60.799,70.2946,70.7441,69.4895,6.45481,80.68,12.3105,76.94,23.0337,71.98,41.2598,64.46
nd6k,float,18000,6897316,383.184,yes,no,1.37206,2.80686,6.2212,7.34852,7.38352,7.39585,89.6724,108.634,120.712,108.932,11.433,71.45,21.9784,68.68,41.3322,64.58,74.473,58.18
ns3Da,double,20414,1679599,82.2768,no,no,1.41532,2.26163,1.02602,0.864853,0.591441,0.365911,4.77669,5.11277,5.27971,4.10511,1.19521,14.94,1.33373,8.33,1.49744,4.67,1.72463,2.69
ns3Da,float,20414,1679599,82.2768,no,no,1.59911,2.87415,1.17232,0.970372,0.553995,0.383201,2.6199,2.63303,2.81743,3.4417,1.26258,7.89,1.45322,4.54,1.70723,2.66,2.09007,1.63
ns3Da,double,20414,1679599,82.2768,yes,no,1.44872,2.33274,1.04759,0.875764,0.59478,0.366828,4.22659,4.3949,3.10563,4.19054,1.19521,14.94,1.33373,8.33,1.49744,4.67,1.72463,2.69
ns3Da,float,20414,1679599,82.2768,yes,no,1.62428,2.89515,1.17187,0.971155,0.554894,0.386187,2.57597,2.4422,2.65597,3.4692,1.26258,7.89,1.45322,4.54,1.70723,2.66,2.09007,1.63
pdb1HYS,double,36417,4344765,119.306,no,no,1.30113,2.21901,3.02358,3.49349,3.51835,3.41941,58.6872,67.8779,67.9374,63.0143,6.18497,77.31,11.5357,72.09,20.3068,63.45,34.6943,54.20
